16569963779	17885275338	20221021124144	2389
14171709460	19602240179	20221215092332	2773
15280214634	19602240179	20220809125056	0649
19602240179	16160892861	20221231025945	1382
15781588029	15280214634	20220614040859	1608
14171709460	16160892861	20221003122418	0090
18101213362	14397114174	20220624064235	1654
18101213362	17885275338	20220205170741	1061
18840172592	17405139883	20220329095252	0656
15884588694	14397114174	20220730070523	1514
15244749863	19683537146	20220129163702	2282
17405139883	17885275338	20220428154146	2914
17885275338	15280214634	20220603200432	0582
14930423697	15280214634	20220420164449	0722
17336673697	15305526350	20221222222633	1002
16569963779	17336673697	20221104111752	2012
19154926260	14171709460	20220415172531	0746
19154926260	15280214634	20220810214542	0314
18101213362	19154926260	20221105170613	2667
15280214634	19602240179	20220914132523	1247
18101213362	19154926260	20220712120659	0040
